user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
calebkkraft,6866041590150988805,6958847493538942213,STOMPY FLOPPERS! Which is your fav?  #petsoftiktok,1620232944,43,https://www.tiktok.com/@calebkkraft/video/6958847493538942213?lang=en,3700000,276900,73000,11200000
chrislobanzo,6766199994544587782,6958118572031872262,Did we live the same life? #fyp #4u #siblings #viral,1620063229,15,https://www.tiktok.com/@chrislobanzo/video/6958118572031872262?lang=en,529000,20300,5511,3700000
jessechrisss,6590567131488813062,6958862670481083653,i got this almond milk because emma chamberlain said it was good,1620236484,10,https://www.tiktok.com/@jessechrisss/video/6958862670481083653?lang=en,1700000,5643,7128,6000000
caleb_with_a_k,6831921218371945478,6958090698906225925,made a remix 😆 #remix #ratherbe #astronautintheocean #fyp,1620056739,11,https://www.tiktok.com/@caleb_with_a_k/video/6958090698906225925?lang=en,882200,40400,38700,4600000
brettzamzow737,6953625029612356613,6957507762486004998,You better follow! #fyp #fypシ #foryou #foryoupage #viral,1619921015,7,https://www.tiktok.com/@brettzamzow737/video/6957507762486004998?lang=en,529400,1181,28600,3100000
ryanvargas_23,6730006450822071301,6955919573824687365,Blessed is an understatement.🙏🏼💪🏼 #NASCAR #car #dream,1619551234,11,https://www.tiktok.com/@ryanvargas_23/video/6955919573824687365?lang=en,406500,573,1785,2400000
mistermainer,6839749474937504773,6956728839196151045,@josh1morris #dog #fyp #bruh #bruhh #wtf #joshmorris,1619739657,15,https://www.tiktok.com/@mistermainer/video/6956728839196151045?lang=en,4600000,187500,68100,16000000
thetw19,6879998241938539525,6955550557813755141,incredible 🏆#fyp#greenscreenvideo#Destinationdepop,1619465316,6,https://www.tiktok.com/@thetw19/video/6955550557813755141?lang=en,654300,14800,9485,4300000
miagillespiee,6748199804382725125,6954948488845217029,look who is back #thefivemoms @abbymclaughlin6 @_samkelly_ @meganwagner24 @megcoogan,1619325139,23,https://www.tiktok.com/@miagillespiee/video/6954948488845217029?lang=en,3200000,29200,41600,12400000
fluffyfamofficial,6768557585299751941,6953838326860238085,,1619066662,8,https://www.tiktok.com/@fluffyfamofficial/video/6953838326860238085?lang=en,1500000,60300,27100,8900000
